,categories,hasPerk,id,location.address,location.cc,location.city,location.country,location.crossStreet,location.distance,location.formattedAddress,location.labeledLatLngs,location.lat,location.lng,location.neighborhood,location.postalCode,location.state,name,referralId,venuePage.id
21,"[{'id': '52e81612bcbc57f1066b7a00', 'name': 'Comfort Food Restaurant', 'pluralName': 'Comfort Food Restaurants', 'shortName': 'Comfort Food', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}, 'primary': True}]",False,531672e7498e3d94ecbe2b4b,Healeys Lane,AU,Melbourne,Australia,Little Lonsdale,33,"['Healeys Lane (Little Lonsdale)', 'Melbourne VIC 3000', 'Australia']","[{'label': 'display', 'lat': -37.81349990385916, 'lng': 144.95579800058627}]",-37.81349990385916,144.95579800058627,,3000,VIC,68 ° Coffee & Food,v-1599966902,
22,"[{'id': '4bf58dd8d48988d1e0931735', 'name': 'Coffee Shop', 'pluralName': 'Coffee Shops', 'shortName': 'Coffee Shop', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_', 'suffix': '.png'}, 'primary': True}]",False,4d9e49d4a4675481aa278be6,8 Exploration Ln.,AU,Melbourne,Australia,at Little Lonsdale St.,104,"['8 Exploration Ln. (at Little Lonsdale St.)', 'Melbourne VIC 3000', 'Australia']","[{'label': 'display', 'lat': -37.809279, 'lng': 144.968483}]",-37.809279,144.968483,,3000,VIC,The League of Honest Coffee,v-1599966903,
23,"[{'id': '4bf58dd8d48988d1e0931735', 'name': 'Coffee Shop', 'pluralName': 'Coffee Shops', 'shortName': 'Coffee Shop', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_', 'suffix': '.png'}, 'primary': True}]",False,4beb35fa6295c9b60a768708,2/455 Bourke Street,AU,Melbourne,Australia,,94,"['2/455 Bourke Street', 'Melbourne VIC 3000', 'Australia']","[{'label': 'display', 'lat': -37.81527, 'lng': 144.96054}]",-37.81527,144.96054,,3000,VIC,Hudsons Coffee,v-1599966909,
24,"[{'id': '4bf58dd8d48988d16d941735', 'name': 'Café', 'pluralName': 'Cafés', 'shortName': 'Café', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/cafe_', 'suffix': '.png'}, 'primary': True}]",False,4dcc66f1ae60b8aba8712d70,288 Queen St,AU,Melbourne,Australia,Little Lonsdale,74,"['288 Queen St (Little Lonsdale)', 'Melbourne VIC', 'Australia']","[{'label': 'display', 'lat': -37.81184, 'lng': 144.95954}]",-37.81184,144.95954,,,VIC,Romano's Coffee,v-1599966912,
25,"[{'id': '4bf58dd8d48988d16d941735', 'name': 'Café', 'pluralName': 'Cafés', 'shortName': 'Café', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/cafe_', 'suffix': '.png'}, 'primary': True}]",False,57213f4f498eaeb1b8aa02c5,380 La Trobe Street,AU,Melbourne,Australia,Queen Street,106,"['380 La Trobe Street (Queen Street)', 'Melbourne VIC 3000', 'Australia']","[{'label': 'display', 'lat': -37.81106, 'lng': 144.9581}]",-37.81106,144.9581,"Melbourne CBD, Melbourne, VIC",3000,VIC,Charles La Trobe Coffee Co,v-1599966912,
26,"[{'id': '4bf58dd8d48988d1e0931735', 'name': 'Coffee Shop', 'pluralName': 'Coffee Shops', 'shortName': 'Coffee Shop', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_', 'suffix': '.png'}, 'primary': True}]",False,4ca67e6776d3a0936b31026b,QV Square,AU,Melbourne,Australia,,84,"['QV Square', 'Melbourne VIC 3000', 'Australia']","[{'label': 'display', 'lat': -37.811125861561415, 'lng': 144.96499152858584}]",-37.811125861561415,144.96499152858584,"Melbourne CBD, Melbourne, VIC",3000,VIC,Romano's Coffee and Bagels,v-1599966913,
27,"[{'id': '4bf58dd8d48988d1e0931735', 'name': 'Coffee Shop', 'pluralName': 'Coffee Shops', 'shortName': 'Coffee Shop', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_', 'suffix': '.png'}, 'primary': True}]",False,548e129b498e3012587f3e5c,12 Drewery Ln,AU,Melbourne,Australia,Lonsdale St,64,"['12 Drewery Ln (Lonsdale St)', 'Melbourne VIC 3000', 'Australia']","[{'label': 'display', 'lat': -37.810911, 'lng': 144.964027}]",-37.810911,144.964027,,3000,VIC,Little Rogue Coffee,v-1599966913,
28,"[{'id': '4bf58dd8d48988d1e0931735', 'name': 'Coffee Shop', 'pluralName': 'Coffee Shops', 'shortName': 'Coffee Shop', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_', 'suffix': '.png'}, 'primary': True}]",False,509de0bbe4b0df8f7e9344da,284 Lonsdale St.,AU,Melbourne,Australia,,59,"['284 Lonsdale St.', 'Melbourne VIC 3000', 'Australia']","[{'label': 'display', 'lat': -37.811799, 'lng': 144.963597}]",-37.811799,144.963597,,3000,VIC,Elle's Coffee & Ice Cream,v-1599966913,
29,[],False,55e01295498e74dd8a11cdf1,,AU,,Australia,,125,['Australia'],"[{'label': 'display', 'lat': -37.810364, 'lng': 144.964292}]",-37.810364,144.964292,,,,Slamet Coffee Cabang Melbourne,v-1599966913,
30,"[{'id': '4bf58dd8d48988d1e0931735', 'name': 'Coffee Shop', 'pluralName': 'Coffee Shops', 'shortName': 'Coffee Shop', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_', 'suffix': '.png'}, 'primary': True}]",False,4fbdbc78e4b0e542befde5b0,205 Swanston St.,AU,Melbourne,Australia,,43,"['205 Swanston St.', 'Melbourne VIC 3000', 'Australia']","[{'label': 'display', 'lat': -37.81128786015124, 'lng': 144.96457645862472}]",-37.81128786015124,144.96457645862472,,3000,VIC,Starbucks,v-1599966913,
