data_format,development_key,status,year_completed,clue_small_area,clue_block,street_address,property_id,property_id_2,property_id_3,property_id_4,property_id_5,floors_above,resi_dwellings,studio_dwe,one_bdrm_dwe,two_bdrm_dwe,three_bdrm_dwe,student_apartments,student_beds,student accommodation units,institutional_accom_beds,hotel_rooms,serviced_apartments,hotels_serviced_apartments,hostel_beds,childcare_places,office_flr,retail_flr,industrial_flr,storage_flr,education_flr,hospital_flr,recreation_flr,publicdispaly_flr,community_flr,car_spaces,bike_spaces,town_planning_application_no,longitude,latitude,Location 1
Post May 16,X0005805,APPLIED,,West Melbourne (Residential),101,15-31 Batman Street WEST MELBOURNE VIC 3003,100848,,,,,21,240,0,87,131,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212,245,TPM-2014-21/A,144.9523,-37.8109,POINT (144.9523 -37.8109)
Post May 16,X0006201,APPLIED,,North Melbourne,"2,383","87-105 Racecourse Road, North Melbourne, 3051",616843,,,,,12,72,0,38,34,0,0,0,0,0,0,110,110,0,0,"1,825",0,0,0,0,0,"1,235",0,0,122,166,TP-2019-196,144.9389,-37.7898,POINT (144.9389 -37.7898)
Post May 16,X0006401,APPLIED,,South Yarra,861,"99 Park Street, South Yarra, 3141",107379,,,,,3,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,3,TP-2019-230,144.9820127,-37.83522477,POINT (144.9820127 -37.83522477)
Post May 16,X0006403,APPLIED,,Melbourne (CBD),21,539-557 Collins Street MELBOURNE VIC 3000,102105,105296,,,,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"79,000","1,650",0,0,0,0,0,0,0,110,752,TPMR-2019-9,144.9564,-37.8188,POINT (144.9564 -37.8188)
Post May 16,X0006404,APPLIED,,West Melbourne (Residential),91,"500 La Trobe Street, West Melbourne, 3003",105467,,,,,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"17,958",467,0,0,0,0,0,0,0,138,156,TPM-2019-10,144.9520754,-37.81258618,POINT (144.9520754 -37.81258618)
Post May 16,X0006800,APPLIED,,West Melbourne (Industrial),501,"180-194 Kensington Road, West Melbourne, 3003",105232,105233,105234,598603,598604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TP-2019-246,144.9171858,-37.79957845,POINT (144.9171858 -37.79957845)
Post May 16,X0006801,APPLIED,,West Melbourne (Industrial),501,"180-194 Kensington Road, West Melbourne, 3003",105232,105233,105234,598603,598604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TP-2019-246,144.9171858,-37.79957845,POINT (144.9171858 -37.79957845)
Post May 16,X0006802,APPLIED,,West Melbourne (Industrial),501,"180-194 Kensington Road, West Melbourne, 3003",105232,105233,105234,598603,598604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TP-2019-246,144.9171858,-37.79957845,POINT (144.9171858 -37.79957845)
Post May 16,X0006803,APPLIED,,West Melbourne (Industrial),501,"180-194 Kensington Road, West Melbourne, 3003",105232,105233,105234,598603,598604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TP-2019-246,144.9171858,-37.79957845,POINT (144.9171858 -37.79957845)
Post May 16,X0006804,APPLIED,,North Melbourne,342,"644 Victoria Street, North Melbourne, 3051",109768,,,,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,292",0,0,0,0,0,0,0,0,91,23,TP-2019-417,144.9445819,-37.8043552,POINT (144.9445819 -37.8043552)
Post May 16,X0006807,APPLIED,,Carlton,242,"183-195 Bouverie Street, Carlton, 3053",101254,,,,,11,0,0,0,0,0,78,0,78,0,0,0,0,0,0,0,"7,050",0,0,"18,266",0,961,0,0,4,164,TPM-2019-19,144.9614601,-37.8019397,POINT (144.9614601 -37.8019397)
Post May 16,X0007400,APPLIED,,Melbourne (CBD),84,293-299 La Trobe Street MELBOURNE VIC 3000,105449,105450,,,,44,0,0,0,0,0,627,715,715,0,0,0,0,0,0,0,190,0,0,0,0,0,0,0,0,180,TPM-2015-11/B,144.9605,-37.8108,POINT (144.9605 -37.8108)
Post May 16,X0007401,APPLIED,,Carlton,206,"225-227 Lygon Street, Carlton, 3053",106120,,,,,4,0,0,0,0,0,11,11,11,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,10,TP-2019-524,144.966741,-37.80004561,POINT (144.966741 -37.80004561)
Post May 16,X0007408,APPLIED,,West Melbourne (Residential),440,"145-147 Rosslyn Street, West Melbourne, 3003",108413,,,,,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,130",126,0,0,0,0,0,0,0,8,9,TP-2019-535,144.9499596,-37.80925833,POINT (144.9499596 -37.80925833)
Post May 16,X0007410,APPLIED,,Carlton,203,"435 Cardigan Street, Carlton, 3053",101628,,,,,2,0,0,0,0,0,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TP-2019-547,144.9659495,-37.79590614,POINT (144.9659495 -37.79590614)
Post May 16,X0007411,APPLIED,,Docklands,"1,105",694-704 Collins Street DOCKLANDS VIC 3008,578095,,,,,54,265,50,25,170,20,0,0,0,0,182,0,182,0,0,"12,812",142,0,0,0,0,0,0,0,199,242,TPM-2019-21,144.9509,-37.8195,POINT (144.9509 -37.8195)
Post May 16,X0007413,APPLIED,,Southbank,734,"42 Moray Street, Southbank, 3006",110635,110458,,,,56,317,0,98,208,11,0,0,0,0,0,0,0,0,0,"3,092",103,0,0,0,0,0,0,0,144,171,TPMR-2016-22/A,144.9604137,-37.82754797,POINT (144.9604137 -37.82754797)
Post May 16,X0007414,APPLIED,,West Melbourne (Residential),402,"503-509 Victoria Street, West Melbourne, 3003",109757,,,,,8,14,0,0,1,13,0,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,0,24,18,TP-2019-582,144.9428676,-37.80467688,POINT (144.9428676 -37.80467688)
Post May 16,X0007418,APPLIED,,Kensington,505,"14-22 Bruce Street, Kensington, 3031",101331,,,,,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,839",0,0,0,0,0,0,0,0,60,54,TP-2019-587,144.93415,-37.79855781,POINT (144.93415 -37.79855781)
Post May 16,X0007421,APPLIED,,Melbourne (CBD),42,140-146 King Street MELBOURNE VIC 3000,105391,,,,,57,0,0,0,0,0,0,0,0,0,0,298,298,0,0,0,52,0,0,0,0,0,0,0,0,60,TPM-2015-13/A,144.9563,-37.8167,POINT (144.9563 -37.8167)
Post May 16,X0007423,APPLIED,,Carlton,203,"419-423 Cardigan Street, Carlton, 3053",101624,101625,,,,3,0,0,0,0,0,33,51,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,TP-2019-649,144.9657669,-37.79620735,POINT (144.9657669 -37.79620735)
Post May 16,X0007426,APPLIED,,Carlton,219,"296 Drummond Street, Carlton, 3053",102725,,,,,3,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,586,8,8,TP-2019-654,144.9689893,-37.79909605,POINT (144.9689893 -37.79909605)
Post May 16,X0007428,APPLIED,,Melbourne (CBD),38,"60 Collins Street, Melbourne, 3000",102164,102165,,,,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"26,311",412,0,0,0,0,0,0,0,36,345,TPMR-2019-25,144.9716239,-37.81362025,POINT (144.9716239 -37.81362025)
Post May 16,X0007433,APPLIED,,North Melbourne,365,"187-189 Peel Street, North Melbourne, 3051",107510,,,,,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,593,90,0,0,0,0,0,0,0,0,0,TP-2019-707,144.95611,-37.80325877,POINT (144.95611 -37.80325877)
Post May 16,X0007434,APPLIED,,Melbourne (CBD),67,"Hotel Grand Chancellor/Lonsdale Heights Apartments, 131-137 Lonsdale Street, Melbourne, 3000",105679,,,,,3,0,0,0,0,0,0,0,0,0,30,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,TP-2019-712,144.9685148,-37.81092689,POINT (144.9685148 -37.81092689)
Post May 16,X0007600,APPLIED,,Melbourne (CBD),77,150-162 Lonsdale Street MELBOURNE VIC 3000,110709,105752,,,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,280",0,0,0,0,0,0,0,0,0,175,TP-2019-738,144.9675734,-37.81012247,POINT (144.9675734 -37.81012247)
